epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,5248.39,0.97258,0.78126,0.016,0.08303,0.48652,0.49648,0.44482,0.27053,1.40051,1.2293,0.02487,0.07424,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,5315.93,0.96849,0.78048,0.01565,0.08228,0.44266,0.49212,0.41083,0.24035,1.45168,1.27944,0.02461,0.07186,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,5379.29,0.96126,0.77444,0.01559,0.08087,0.46817,0.50232,0.4331,0.26275,1.39327,1.23067,0.0244,0.06878,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,5442.12,0.96941,0.77867,0.0153,0.08214,0.46508,0.52177,0.44295,0.27271,1.37832,1.18325,0.02427,0.06939,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,5511.28,0.96154,0.76411,0.01587,0.08237,0.46883,0.51065,0.44101,0.26621,1.41097,1.21429,0.02407,0.06894,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,5574.72,0.95962,0.76699,0.015,0.0825,0.45514,0.49613,0.42801,0.2592,1.41634,1.2485,0.02297,0.06758,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,5638.17,0.9591,0.76363,0.01435,0.08265,0.45999,0.50793,0.43266,0.262,1.41301,1.27304,0.0204,0.06816,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,5710.16,0.95357,0.74689,0.01576,0.08129,0.44965,0.51458,0.44041,0.26892,1.40471,1.26844,0.02134,0.06832,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,5776.71,0.9534,0.74984,0.01557,0.08047,0.46014,0.51571,0.44695,0.26955,1.41513,1.2865,0.0215,0.06795,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,5840.39,0.95134,0.75385,0.01484,0.08002,0.46443,0.50342,0.43654,0.26117,1.43346,1.3014,0.02068,0.06576,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,5904.37,0.94487,0.74513,0.01367,0.08042,0.45686,0.49995,0.43196,0.25819,1.44479,1.31149,0.01983,0.06591,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,5966.98,0.94625,0.7494,0.01411,0.08007,0.44162,0.50733,0.42761,0.25583,1.44659,1.2986,0.01887,0.06649,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,6029.87,0.94194,0.74213,0.01452,0.07916,0.44252,0.49994,0.42199,0.24947,1.46493,1.32034,0.01902,0.06571,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
